date,ocor
2011-02-08,33
2011-01-09,25
2011-06-18,27
2011-07-21,28
2011-01-10,28
2011-01-30,33
2011-04-03,29
2011-07-20,17
2011-09-28,34
2011-10-02,35
2011-04-22,33
2011-05-11,25
2011-02-13,35
2011-03-22,32
2011-12-20,26
2011-03-29,25
2011-09-17,24
2011-09-19,40
2011-10-08,25
2011-11-17,24
2011-11-29,27
2011-12-11,46
2011-12-29,25
2011-01-02,32
2011-05-05,25
2011-05-09,37
2011-12-21,28
2011-06-13,36
2011-07-10,33
2011-08-06,31
2011-09-24,32
2011-10-04,30
2011-11-09,30
2011-07-18,26
2011-07-19,22
2011-07-15,27
2011-08-15,38
2011-01-06,20
2011-01-07,33
2011-02-14,26
2011-02-17,14
2011-01-11,27
2011-01-18,23
2011-02-02,26
2011-01-01,52
2011-01-13,18
2011-07-03,27
2011-07-04,27
2011-07-07,29
2011-07-23,24
2011-10-17,27
2011-10-12,22
2011-09-25,34
2011-09-29,26
2011-08-12,26
2011-08-18,25
2011-10-09,39
2011-09-11,31
2011-10-05,15
2011-09-08,32
2011-11-08,26
2011-03-30,23
2011-04-07,19
2011-04-01,25
2011-04-04,40
2011-03-25,35
2011-03-09,39
2011-03-04,21
2011-03-11,29
2011-04-15,35
2011-04-17,37
2011-04-26,34
2011-05-02,20
2011-04-24,35
2011-05-26,28
2011-05-21,21
2011-06-26,21
2011-07-12,29
2011-06-16,23
2011-04-28,26
2011-04-08,21
2011-05-17,23
2011-05-10,28
2011-05-16,26
2011-06-04,19
2011-06-07,27
2011-06-20,31
2011-07-06,15
2011-07-11,25
2011-09-09,30
2011-11-18,17
2011-11-06,43
2011-11-27,31
2011-11-13,30
2011-10-30,19
2011-11-01,25
2011-10-29,32
2011-10-07,22
2011-12-01,26
2011-11-16,32
2011-11-10,31
2011-10-18,22
2011-10-20,32
2011-10-26,26
2011-10-28,27
2011-10-31,23
2011-12-09,33
2011-12-14,25
2011-12-15,26
2011-12-28,38
2011-11-28,29
2011-11-30,32
